"hostname","phase","description","last_modified","modified_by","installed","updated","serialnumber","location","hardware","ansible_group"
"badmin","other","","2017-07-18 13:49:29","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","virtual",""
"biowulf","other","login node for biowulf cluster","2017-07-19 11:49:26","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","virtual",""
"bna","service_node","NULL","2017-07-18 15:07:46","","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","NULL","virtual","NULL"
"cn0001","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0002","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0003","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0004","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0005","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0006","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0007","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0008","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0009","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0010","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0011","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0012","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
