"interface_id","hostname","private_name","primary","interface","designation","mac","ipv4","ipv6"
"1","helix","helix-e0","0","eth6","e0","00:23:26:9D:E7:18","10.1.130.1","NULL"
"2","helix","helix-e1","0","eth7","e1","00:23:26:9D:E7:19","128.231.2.3","2607:f220:418:4801::2:3"
"4","lager1-rlm","NULL","0","NULL","","NULL","10.1.126.201","NULL"
"5","lager2-rlm","NULL","0","NULL","","NULL","10.1.126.202","NULL"
"6","lager3-rlm","NULL","0","NULL","","NULL","10.1.126.203","NULL"
"7","lager4-rlm","NULL","0","NULL","","NULL","10.1.126.204","NULL"
"8","lager5-rlm","NULL","0","NULL","","NULL","10.1.126.205","NULL"
"9","lager6-rlm","NULL","0","NULL","","NULL","10.1.126.206","NULL"
"10","lager7-rlm","NULL","0","NULL","","NULL","10.1.126.207","NULL"
"11","lager8-rlm","NULL","0","NULL","","NULL","10.1.126.208","NULL"
"12","lager17-rlm","NULL","0","NULL","","NULL","10.1.126.217","NULL"
"13","lager18-rlm","NULL","0","NULL","","NULL","10.1.126.218","NULL"
"14","lager-netapp10g2","NULL","0","NULL","","NULL","10.1.126.254","NULL"
"15","lager-netapp10g1","NULL","0","NULL","","NULL","10.1.126.253","NULL"
"16","lager-netapp1g2","NULL","0","NULL","","NULL","10.1.126.252","NULL"
"17","lager-netapp1g1","NULL","0","NULL","","NULL","10.1.126.251","NULL"
"18","gsnas1","NULL","0","NULL","","NULL","10.1.123.1","NULL"
"19","gsnas2","NULL","0","NULL","","NULL","10.1.123.2","NULL"
"20","gsnas3","NULL","0","NULL","","NULL","10.1.123.3","NULL"
"21","gsnas4","NULL","0","NULL","","NULL","10.1.123.4","NULL"
"22","gsnas5","NULL","0","NULL","","NULL","10.1.123.5","NULL"
"23","gsnas6","NULL","0","NULL","","NULL","10.1.123.6","NULL"
"24","gsnas7","NULL","0","NULL","","NULL","10.1.123.7","NULL"
"25","gsnas8","NULL","0","NULL","","NULL","10.1.123.8","NULL"
"26","gsnas9","NULL","0","NULL","","NULL","10.1.123.9","NULL"
"27","gsnas10","NULL","0","NULL","","NULL","10.1.123.10","NULL"
"28","gsnas11","NULL","0","NULL","","NULL","10.1.123.11","NULL"
"29","gsnas12","NULL","0","NULL","","NULL","10.1.123.12","NULL"
"30","gsnas13","NULL","0","NULL","","NULL","10.1.123.13","NULL"
"31","gsnas14","NULL","0","NULL","","NULL","10.1.123.14","NULL"
"32","gsnas15","NULL","0","NULL","","NULL","10.1.123.15","NULL"
"33","gsnas16","NULL","0","NULL","","NULL","10.1.123.16","NULL"
"34","nsd1","NULL","0","NULL","","NULL","10.2.31.21","NULL"
"35","nsd2","NULL","0","NULL","","NULL","10.2.31.22","NULL"
"36","nsd3","NULL","0","NULL","","NULL","10.2.31.23","NULL"
"37","nsd4","NULL","0","NULL","","NULL","10.2.31.24","NULL"
"38","nsd5","NULL","0","NULL","","NULL","10.2.31.25","NULL"
"39","nsd6","NULL","0","NULL","","NULL","10.2.31.26","NULL"
"40","nsd7","NULL","0","NULL","","NULL","10.2.31.27","NULL"
"41","nsd8","NULL","0","NULL","","NULL","10.2.31.28","NULL"
"42","nsd11","NULL","0","NULL","","NULL","10.2.31.31","NULL"
"43","nsd12","NULL","0","NULL","","NULL","10.2.31.32","NULL"
"44","nsd13","NULL","0","NULL","","NULL","10.2.31.33","NULL"
"45","nsd14","NULL","0","NULL","","NULL","10.2.31.34","NULL"
"46","nsd15","NULL","0","NULL","","NULL","10.2.31.35","NULL"
"47","nsd16","NULL","0","NULL","","NULL","10.2.31.36","NULL"
"48","nsd17","NULL","0","NULL","","NULL","10.2.31.37","NULL"
"49","nsd18","NULL","0","NULL","","NULL","10.2.31.38","NULL"
"50","nsd21","NULL","0","NULL","","NULL","10.2.31.41","NULL"
"51","nsd22","NULL","0","NULL","","NULL","10.2.31.42","NULL"
"52","nsd23","NULL","0","NULL","","NULL","10.2.31.43","NULL"
"53","nsd24","NULL","0","NULL","","NULL","10.2.31.44","NULL"
"54","nsd25","NULL","0","NULL","","NULL","10.2.31.45","NULL"
"55","nsd26","NULL","0","NULL","","NULL","10.2.31.46","NULL"
"56","nsd27","NULL","0","NULL","","NULL","10.2.31.47","NULL"
"57","nsd28","NULL","0","NULL","","NULL","10.2.31.48","NULL"
"58","nsd31","NULL","0","NULL","","NULL","10.2.31.51","NULL"
"59","nsd32","NULL","0","NULL","","NULL","10.2.31.52","NULL"
"60","nsd33","NULL","0","NULL","","NULL","10.2.31.53","NULL"
"61","nsd34","NULL","0","NULL","","NULL","10.2.31.54","NULL"
"62","nsd35","NULL","0","NULL","","NULL","10.2.31.55","NULL"
"63","nsd36","NULL","0","NULL","","NULL","10.2.31.56","NULL"
"64","nsd37","NULL","0","NULL","","NULL","10.2.31.57","NULL"
"65","nsd38","NULL","0","NULL","","NULL","10.2.31.58","NULL"
"66","nsd41","NULL","0","NULL","","NULL","10.2.31.61","NULL"
"67","nsd42","NULL","0","NULL","","NULL","10.2.31.62","NULL"
"68","nsd43","NULL","0","NULL","","NULL","10.2.31.63","NULL"
"69","nsd44","NULL","0","NULL","","NULL","10.2.31.64","NULL"
"70","nsd45","NULL","0","NULL","","NULL","10.2.31.65","NULL"
"71","nsd46","NULL","0","NULL","","NULL","10.2.31.66","NULL"
"72","nsd47","NULL","0","NULL","","NULL","10.2.31.67","NULL"
"73","nsd48","NULL","0","NULL","","NULL","10.2.31.68","NULL"
"74","nsd51","NULL","0","NULL","","NULL","10.2.31.71","NULL"
"75","nsd52","NULL","0","NULL","","NULL","10.2.31.72","NULL"
"76","nsd53","NULL","0","NULL","","NULL","10.2.31.73","NULL"
"77","nsd54","NULL","0","NULL","","NULL","10.2.31.74","NULL"
"78","nsd55","NULL","0","NULL","","NULL","10.2.31.75","NULL"
"79","nsd56","NULL","0","NULL","","NULL","10.2.31.76","NULL"
"80","nsd57","NULL","0","NULL","","NULL","10.2.31.77","NULL"
"81","nsd58","NULL","0","NULL","","NULL","10.2.31.78","NULL"
